sep=;
Size;Problem;Instance;Generations;Time;Fitness;Regenerators;Disconnected;Seed
080;5;02;1;107;400;4;0;50
080;5;03;120;32271;300;3;0;50
080;5;04;1;106;400;4;0;50
080;5;05;1;127;400;4;0;50
080;5;06;13;3164;300;3;0;50
080;5;07;1;129;400;4;0;50
080;5;08;1;133;400;4;0;50
080;5;09;26;7154;300;3;0;50
080;5;10;39;9470;300;3;0;50
080;6;01;1;131;300;3;0;50
080;6;02;1;117;300;3;0;50
080;6;03;1;125;300;3;0;50
080;6;04;2;404;300;3;0;50
080;6;05;1;97;300;3;0;50
080;7;01;1;93;300;3;0;50
080;7;02;1;118;300;3;0;50
080;7;03;1;101;300;3;0;50
080;7;04;1;91;300;3;0;50
080;7;05;1;110;300;3;0;50
080;7;06;1;115;300;3;0;50
080;7;07;8;1976;200;2;0;50
080;7;08;1;110;200;2;0;50
080;7;09;1;113;300;3;0;50
080;7;10;1;93;300;3;0;50
080;8;01;1;94;200;2;0;50
080;8;02;1;83;200;2;0;50
080;8;03;1;90;200;2;0;50
080;8;04;1;88;200;2;0;50
080;8;05;1;94;200;2;0;50
080;9;01;1;96;200;2;0;50
080;9;02;1;69;200;2;0;50
080;9;03;1;104;200;2;0;50
080;9;04;1;76;200;2;0;50
080;9;05;1;75;200;2;0;50
080;9;06;1;80;200;2;0;50
080;9;07;1;101;200;2;0;50
080;9;08;1;90;200;2;0;50
080;9;09;1;71;200;2;0;50
080;9;10;1;82;200;2;0;50
100;1;01;335;72702;1300;13;0;50
100;1;02;49;10257;1300;13;0;50
100;1;03;116;24011;1300;13;0;50
100;1;04;23;4855;1300;13;0;50
100;1;05;79;17464;1400;14;0;50
100;1;06;88;18948;1300;13;0;50
100;1;07;335;72044;1300;13;0;50
100;1;08;8;1663;1400;14;0;50
100;1;09;10;2004;1400;14;0;50
100;1;10;420;89290;1300;13;0;50
100;2;01;142;33146;800;8;0;50
100;2;02;2;331;800;8;0;50
100;2;03;3;545;800;8;0;50
100;2;04;3;559;900;9;0;50
100;2;05;1;125;700;7;0;50
100;3;01;7;1999;600;6;0;50
100;3;02;3;735;600;6;0;50
100;3;03;3;707;600;6;0;50
100;3;04;4;1056;600;6;0;50
100;3;05;23;6913;500;5;0;50
100;3;06;14;3984;600;6;0;50
100;3;07;2;396;600;6;0;50
100;3;08;11;2910;600;6;0;50
100;3;09;2;375;600;6;0;50
100;3;10;2;428;600;6;0;50
100;4;01;4;1137;400;4;0;50
100;4;02;1;135;500;5;0;50
100;4;03;1;111;500;5;0;50
100;4;04;9;2817;400;4;0;50
100;4;05;23;7211;400;4;0;50
100;5;01;2;390;400;4;0;50
100;5;02;1;91;400;4;0;50
100;5;03;1;100;400;4;0;50
100;5;04;2;442;400;4;0;50
100;5;05;1;106;400;4;0;50
100;5;06;1;97;400;4;0;50
100;5;07;1;86;400;4;0;50
100;5;08;2;355;400;4;0;50
100;5;09;1;95;400;4;0;50
100;5;10;2;454;400;4;0;50
100;6;01;2;427;300;3;0;50
100;6;02;2;372;300;3;0;50
100;6;03;2;366;300;3;0;50
100;6;04;2;428;300;3;0;50
100;6;05;1;114;300;3;0;50
100;7;01;1;104;300;3;0;50
100;7;02;2;364;200;2;0;50
100;7;03;1;102;300;3;0;50
100;7;04;1;102;300;3;0;50
100;7;05;8;2379;200;2;0;50
100;7;06;1;93;300;3;0;50
100;7;07;1;98;300;3;0;50
100;7;08;1;105;300;3;0;50
100;7;09;1;114;300;3;0;50
100;7;10;2;537;200;2;0;50
100;8;01;2;379;200;2;0;50
100;8;02;1;86;200;2;0;50
100;8;03;2;365;200;2;0;50
100;8;04;1;66;200;2;0;50
100;8;05;2;350;200;2;0;50
100;9;01;1;118;200;2;0;50
100;9;02;1;60;200;2;0;50
100;9;03;1;94;200;2;0;50
100;9;04;1;62;200;2;0;50
100;9;05;1;91;200;2;0;50
100;9;06;1;81;200;2;0;50
100;9;07;1;105;200;2;0;50
100;9;08;1;80;200;2;0;50
100;9;09;1;112;200;2;0;50
100;9;10;1;78;200;2;0;50
