File;Generations;Time;Fitness;Regenerators;Disconnected
weight_dataN80P7Inst9.txt;34;3028;800;3;0
weight_dataN80P9Inst1.txt;37;3364;900;3;0
weight_dataN80P9Inst10.txt;38;3389;1000;4;0
weight_dataN80P9Inst2.txt;42;3707;900;3;0
weight_dataN80P9Inst3.txt;45;4233;600;2;0
weight_dataN80P9Inst4.txt;49;5830;800;3;0
weight_dataN80P9Inst5.txt;50;6055;1300;4;0
weight_dataN80P9Inst6.txt;57;6993;600;3;0
weight_dataN80P9Inst7.txt;394;83772;1200;4;0
weight_dataN80P9Inst8.txt;40;3661;600;2;0
weight_dataN80P9Inst9.txt;45;4595;800;4;0
